oblast,raion,hromada,level,started_at,finished_at
Mykolaivska oblast,Voznesenskyi raion,m. Voznesensk ta Voznesenska terytorialna hromada,hromada,2022-03-16 10:05:04+00:00,2022-03-16 10:51:01+00:00
Cherkaska oblast,Zolotoniskyi raion,Voznesenska terytorialna hromada,hromada,2022-03-16 10:05:04+00:00,2022-03-16 10:51:01+00:00
Mykolaivska oblast,Mykolaivskyi raion,m. Mykolaiv ta Mykolaivska terytorialna hromada,hromada,2022-03-16 10:05:25+00:00,2022-03-16 10:50:54+00:00
Vinnytska oblast,,,oblast,2022-03-16 10:08:00+00:00,2022-03-16 10:41:07+00:00
Zhytomyrska oblast,Korostenskyi raion,,raion,2022-03-16 10:08:31+00:00,2022-03-16 10:44:36+00:00
Cherkaska oblast,Cherkaskyi raion,Smilianska terytorialna hromada,hromada,2022-03-16 10:11:49+00:00,2022-03-16 10:45:26+00:00
Cherkaska oblast,Zvenyhorodskyi raion,m. Vatutine ta Vatutinska terytorialna hromada,hromada,2022-03-16 10:12:00+00:00,2022-03-16 10:45:11+00:00
Mykolaivska oblast,Pervomaiskyi raion,m. Pervomaisk ta Pervomaiska terytorialna hromada,hromada,2022-03-16 10:13:34+00:00,2022-03-16 10:50:46+00:00
Mykolaivska oblast,Mykolaivskyi raion,Pervomaiska terytorialna hromada,hromada,2022-03-16 10:13:34+00:00,2022-03-16 10:50:46+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-16 11:28:16+00:00,2022-03-16 11:40:10+00:00
Kyiv City,,,oblast,2022-03-16 11:33:24+00:00,2022-03-16 13:10:38+00:00
Donetska oblast,Kramatorskyi raion,Cherkaska terytorialna hromada,hromada,2022-03-16 11:35:15+00:00,2022-03-16 13:12:46+00:00
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-16 11:35:15+00:00,2022-03-16 13:12:46+00:00
Dnipropetrovska oblast,Dniprovskyi raion,m. Dnipro ta Dniprovska terytorialna hromada,hromada,2022-03-16 11:37:15+00:00,2022-03-16 11:56:27+00:00
Kyivska oblast,Bilotserkivskyi raion,m. Bila Tserkva ta Bilotserkivska terytorialna hromada,hromada,2022-03-16 11:37:40+00:00,2022-03-16 13:15:43+00:00
Poltavska oblast,Myrhorodskyi raion,Bilotserkivska terytorialna hromada,hromada,2022-03-16 11:37:40+00:00,2022-03-16 13:15:43+00:00
Kyivska oblast,Obukhivskyi raion,Myronivska terytorialna hromada,hromada,2022-03-16 11:37:48+00:00,2022-03-16 13:15:39+00:00
Zaporizka oblast,Zaporizkyi raion,m. Zaporizhzhia ta Zaporizka terytorialna hromada,hromada,2022-03-16 11:40:24+00:00,2022-03-16 11:58:09+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Vasylkivska terytorialna hromada,hromada,2022-03-16 11:40:44+00:00,2022-03-16 13:15:31+00:00
Kyivska oblast,Obukhivskyi raion,m. Vasylkiv ta Vasylkivska terytorialna hromada,hromada,2022-03-16 11:40:44+00:00,2022-03-16 13:15:31+00:00
Dnipropetrovska oblast,,,oblast,2022-03-16 11:41:34+00:00,2022-03-16 11:56:19+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-16 11:43:34+00:00,2022-03-16 11:57:12+00:00
Poltavska oblast,Poltavskyi raion,m. Poltava ta Poltavska terytorialna hromada,hromada,2022-03-16 11:57:07+00:00,2022-03-16 12:22:07+00:00
Poltavska oblast,Myrhorodskyi raion,m. Myrhorod ta Myrhorodska terytorialna hromada,hromada,2022-03-16 11:57:21+00:00,2022-03-16 12:21:57+00:00
Zhytomyrska oblast,Zhytomyrskyi raion,,raion,2022-03-16 13:29:28+00:00,2022-03-16 14:28:14+00:00
Kyivska oblast,Bilotserkivskyi raion,m. Bila Tserkva ta Bilotserkivska terytorialna hromada,hromada,2022-03-16 13:33:07+00:00,2022-03-16 14:33:04+00:00
Poltavska oblast,Myrhorodskyi raion,Bilotserkivska terytorialna hromada,hromada,2022-03-16 13:33:07+00:00,2022-03-16 14:33:04+00:00
Kyivska oblast,Fastivskyi raion,m. Fastiv ta Fastivska terytorialna hromada,hromada,2022-03-16 13:33:20+00:00,2022-03-16 14:33:18+00:00
Zhytomyrska oblast,,,oblast,2022-03-16 13:33:47+00:00,2022-03-16 14:28:07+00:00
Kyivska oblast,Obukhivskyi raion,Myronivska terytorialna hromada,hromada,2022-03-16 13:42:16+00:00,2022-03-16 14:33:11+00:00
Kyivska oblast,Vyshhorodskyi raion,m. Slavutych ta Slavutytska terytorialna hromada,hromada,2022-03-16 13:49:11+00:00,2022-03-16 14:32:58+00:00
Khmelnytska oblast,Shepetivskyi raion,,raion,2022-03-16 13:58:16+00:00,2022-03-16 14:28:25+00:00
Khmelnytska oblast,Khmelnytskyi raion,m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada,hromada,2022-03-16 13:58:25+00:00,2022-03-16 14:28:34+00:00
Rivnenska oblast,,,oblast,2022-03-16 14:01:46+00:00,2022-03-16 14:28:46+00:00
