oblast,raion,hromada,level,started_at,finished_at
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-30 14:15:20+00:00,2022-03-30 15:15:32+00:00
Cherkaska oblast,,,oblast,2022-03-30 14:16:02+00:00,2022-03-30 15:14:20+00:00
Lvivska oblast,,,oblast,2022-03-30 14:25:26+00:00,2022-03-30 15:18:52+00:00
Kyiv City,,,oblast,2022-03-30 14:26:16+00:00,2022-03-30 15:58:03+00:00
Rivnenska oblast,,,oblast,2022-03-30 14:26:48+00:00,2022-03-30 15:19:31+00:00
Poltavska oblast,,,oblast,2022-03-30 14:27:11+00:00,2022-03-30 15:14:11+00:00
Kharkivska oblast,,,oblast,2022-03-30 14:27:45+00:00,2022-03-30 15:13:33+00:00
Volynska oblast,,,oblast,2022-03-30 14:27:46+00:00,2022-03-30 15:20:20+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-30 14:28:28+00:00,2022-03-30 15:17:26+00:00
Ternopilska oblast,,,oblast,2022-03-30 14:28:56+00:00,2022-03-30 15:24:07+00:00
Kyivska oblast,,,oblast,2022-03-30 14:32:15+00:00,2022-03-30 15:58:47+00:00
Sumska oblast,,,oblast,2022-03-30 14:32:53+00:00,2022-03-30 15:31:44+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-03-30 14:35:23+00:00,2022-03-30 15:15:50+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-30 14:37:20+00:00,2022-03-30 15:17:48+00:00
Kharkivska oblast,Iziumskyi raion,,raion,2022-03-30 15:20:36+00:00,2022-03-30 16:09:40+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-30 15:22:02+00:00,2022-03-30 15:53:10+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,m. Pershotravensk ta Pershotravenska terytorialna hromada,hromada,2022-03-30 15:22:56+00:00,2022-03-30 16:10:11+00:00
Kharkivska oblast,,,oblast,2022-03-30 15:24:49+00:00,2022-03-30 16:53:07+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-03-30 15:24:54+00:00,2022-03-30 15:52:06+00:00
Dnipropetrovska oblast,Dniprovskyi raion,m. Dnipro ta Dniprovska terytorialna hromada,hromada,2022-03-30 17:11:51+00:00,2022-03-30 18:42:19+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-30 17:19:56+00:00,2022-03-30 18:41:05+00:00
Poltavska oblast,,,oblast,2022-03-30 17:45:29+00:00,2022-03-30 18:44:57+00:00
Chernihivska oblast,,,oblast,2022-03-30 17:47:14+00:00,2022-03-31 20:42:30+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-30 17:56:47+00:00,2022-03-30 18:05:57+00:00
Kyiv City,,,oblast,2022-03-30 19:17:16+00:00,2022-03-30 20:33:40+00:00
Kyivska oblast,,,oblast,2022-03-30 19:21:39+00:00,2022-03-30 20:37:34+00:00
Zhytomyrska oblast,,,oblast,2022-03-30 19:28:02+00:00,2022-03-30 20:34:36+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-30 23:02:55+00:00,2022-03-30 23:26:08+00:00
Donetska oblast,Bakhmutskyi raion,,raion,2022-03-31 03:46:15+00:00,2022-03-31 04:12:46+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-03-31 03:53:09+00:00,2022-03-31 05:52:50+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-31 03:53:14+00:00,2022-03-31 04:12:37+00:00
Donetska oblast,Kramatorskyi raion,m. Kramatorsk ta Kramatorska terytorialna hromada,hromada,2022-03-31 06:18:26+00:00,2022-03-31 06:25:36+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Slovianska terytorialna hromada,hromada,2022-03-31 06:18:34+00:00,2022-03-31 06:25:39+00:00
Donetska oblast,Kramatorskyi raion,m. Sloviansk ta Slovianska terytorialna hromada,hromada,2022-03-31 06:18:34+00:00,2022-03-31 06:25:39+00:00
Dnipropetrovska oblast,,,oblast,2022-03-31 06:20:36+00:00,2022-03-31 06:51:54+00:00
Poltavska oblast,,,oblast,2022-03-31 06:20:54+00:00,2022-03-31 06:51:44+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-31 06:21:44+00:00,2022-03-31 06:52:21+00:00
Donetska oblast,Bakhmutskyi raion,,raion,2022-03-31 06:38:28+00:00,2022-03-31 06:54:37+00:00
Donetska oblast,Kramatorskyi raion,m. Kramatorsk ta Kramatorska terytorialna hromada,hromada,2022-03-31 06:41:57+00:00,2022-03-31 06:54:47+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-31 06:43:01+00:00,2022-03-31 06:54:22+00:00
Kharkivska oblast,,,oblast,2022-03-31 06:47:37+00:00,2022-03-31 07:24:03+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-03-31 06:48:14+00:00,2022-03-31 08:04:27+00:00
Odeska oblast,Rozdilnianskyi raion,Lymanska terytorialna hromada,hromada,2022-03-31 06:58:58+00:00,2022-03-31 07:06:55+00:00
Dnipropetrovska oblast,,,oblast,2022-03-31 07:02:48+00:00,2022-03-31 07:22:54+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-31 07:03:34+00:00,2022-03-31 07:23:26+00:00
Mykolaivska oblast,,,oblast,2022-03-31 07:18:20+00:00,2022-03-31 08:03:32+00:00
Mykolaivska oblast,Mykolaivskyi raion,m. Mykolaiv ta Mykolaivska terytorialna hromada,hromada,2022-03-31 07:19:36+00:00,2022-03-31 08:03:41+00:00
Odeska oblast,,,oblast,2022-03-31 07:21:24+00:00,2022-03-31 08:09:43+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-31 07:30:38+00:00,2022-03-31 08:18:17+00:00
Donetska oblast,Bakhmutskyi raion,,raion,2022-03-31 07:34:00+00:00,2022-03-31 08:19:00+00:00
Volynska oblast,,,oblast,2022-03-31 09:24:54+00:00,2022-03-31 09:53:16+00:00
Rivnenska oblast,,,oblast,2022-03-31 09:25:48+00:00,2022-03-31 09:51:49+00:00
Dnipropetrovska oblast,,,oblast,2022-03-31 09:32:26+00:00,2022-03-31 10:02:27+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-31 09:33:41+00:00,2022-03-31 10:02:47+00:00
Zaporizka oblast,,,oblast,2022-03-31 09:34:18+00:00,2022-03-31 10:04:56+00:00
Odeska oblast,,,oblast,2022-03-31 09:37:21+00:00,2022-03-31 10:04:46+00:00
Poltavska oblast,,,oblast,2022-03-31 09:37:23+00:00,2022-03-31 10:03:31+00:00
Kharkivska oblast,,,oblast,2022-03-31 09:39:10+00:00,2022-03-31 10:03:10+00:00
Mykolaivska oblast,,,oblast,2022-03-31 09:40:21+00:00,2022-03-31 11:52:15+00:00
Sumska oblast,,,oblast,2022-03-31 09:40:30+00:00,2022-03-31 10:14:38+00:00
Mykolaivska oblast,Mykolaivskyi raion,m. Mykolaiv ta Mykolaivska terytorialna hromada,hromada,2022-03-31 09:40:43+00:00,2022-03-31 11:52:37+00:00
Donetska oblast,,,oblast,2022-03-31 09:41:40+00:00,2022-03-31 10:07:43+00:00
Khmelnytska oblast,Khmelnytskyi raion,m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada,hromada,2022-03-31 09:47:05+00:00,2022-03-31 11:24:07+00:00
Zhytomyrska oblast,,,oblast,2022-03-31 10:01:59+00:00,2022-03-31 11:47:05+00:00
Donetska oblast,Bakhmutskyi raion,,raion,2022-03-31 11:27:49+00:00,2022-03-31 14:26:56+00:00
Donetska oblast,,,oblast,2022-03-31 11:31:09+00:00,2022-03-31 12:13:32+00:00
Mykolaivska oblast,,,oblast,2022-03-31 12:55:51+00:00,2022-03-31 14:23:15+00:00
Mykolaivska oblast,Mykolaivskyi raion,m. Mykolaiv ta Mykolaivska terytorialna hromada,hromada,2022-03-31 12:56:02+00:00,2022-03-31 14:23:39+00:00
Vinnytska oblast,,,oblast,2022-03-31 13:01:32+00:00,2022-03-31 13:58:09+00:00
Zaporizka oblast,,,oblast,2022-03-31 13:03:41+00:00,2022-03-31 14:32:50+00:00
Sumska oblast,,,oblast,2022-03-31 13:10:11+00:00,2022-03-31 13:49:46+00:00
Dnipropetrovska oblast,,,oblast,2022-03-31 13:10:27+00:00,2022-03-31 14:29:03+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-31 13:11:36+00:00,2022-03-31 14:30:19+00:00
Poltavska oblast,,,oblast,2022-03-31 13:14:25+00:00,2022-03-31 14:30:12+00:00
Donetska oblast,,,oblast,2022-03-31 13:15:07+00:00,2022-03-31 14:26:50+00:00
Kharkivska oblast,,,oblast,2022-03-31 13:40:54+00:00,2022-03-31 13:41:25+00:00
Kyiv City,,,oblast,2022-03-31 13:42:06+00:00,2022-03-31 14:37:23+00:00
Kyivska oblast,,,oblast,2022-03-31 13:45:59+00:00,2022-03-31 14:42:29+00:00
Kharkivska oblast,,,oblast,2022-03-31 14:29:55+00:00,2022-03-31 14:44:15+00:00
Dnipropetrovska oblast,,,oblast,2022-03-31 14:49:06+00:00,2022-03-31 15:25:11+00:00
Zaporizka oblast,,,oblast,2022-03-31 14:49:48+00:00,2022-03-31 15:28:14+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-31 14:50:30+00:00,2022-03-31 15:26:01+00:00
Odeska oblast,,,oblast,2022-03-31 14:52:40+00:00,2022-03-31 15:30:41+00:00
Mykolaivska oblast,,,oblast,2022-03-31 14:54:17+00:00,2022-03-31 16:10:50+00:00
Mykolaivska oblast,Mykolaivskyi raion,m. Mykolaiv ta Mykolaivska terytorialna hromada,hromada,2022-03-31 14:54:43+00:00,2022-03-31 16:10:58+00:00
Poltavska oblast,,,oblast,2022-03-31 15:45:40+00:00,2022-03-31 16:08:22+00:00
Kirovohradska oblast,,,oblast,2022-03-31 15:46:30+00:00,2022-03-31 16:08:55+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-03-31 16:16:57+00:00,2022-03-31 16:55:45+00:00
Kyiv City,,,oblast,2022-03-31 17:35:18+00:00,2022-03-31 18:17:12+00:00
Zhytomyrska oblast,,,oblast,2022-03-31 17:35:45+00:00,2022-03-31 18:18:02+00:00
Kyivska oblast,,,oblast,2022-03-31 17:39:55+00:00,2022-03-31 18:23:11+00:00
Odeska oblast,,,oblast,2022-03-31 18:51:04+00:00,2022-03-31 19:18:13+00:00
Vinnytska oblast,,,oblast,2022-03-31 18:52:44+00:00,2022-03-31 19:25:27+00:00
Mykolaivska oblast,,,oblast,2022-03-31 18:53:20+00:00,2022-04-01 03:19:08+00:00
Mykolaivska oblast,Mykolaivskyi raion,m. Mykolaiv ta Mykolaivska terytorialna hromada,hromada,2022-03-31 18:53:44+00:00,2022-04-01 03:19:21+00:00
Kyiv City,,,oblast,2022-03-31 18:53:57+00:00,2022-03-31 20:03:54+00:00
Dnipropetrovska oblast,,,oblast,2022-03-31 18:54:37+00:00,2022-03-31 19:33:37+00:00
Kharkivska oblast,,,oblast,2022-03-31 18:54:52+00:00,2022-03-31 19:28:32+00:00
Poltavska oblast,,,oblast,2022-03-31 18:54:59+00:00,2022-03-31 20:05:39+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-31 18:55:16+00:00,2022-03-31 19:33:56+00:00
Zhytomyrska oblast,,,oblast,2022-03-31 18:55:41+00:00,2022-03-31 20:04:48+00:00
Cherkaska oblast,,,oblast,2022-03-31 18:55:51+00:00,2022-03-31 20:10:19+00:00
Kirovohradska oblast,,,oblast,2022-03-31 18:55:53+00:00,2022-03-31 20:05:17+00:00
Zaporizka oblast,,,oblast,2022-03-31 18:56:08+00:00,2022-03-31 19:34:36+00:00
Kyivska oblast,,,oblast,2022-03-31 18:59:05+00:00,2022-03-31 22:19:14+00:00
Sumska oblast,,,oblast,2022-03-31 19:00:12+00:00,2022-03-31 20:08:38+00:00
Donetska oblast,,,oblast,2022-03-31 19:03:05+00:00,2022-03-31 20:09:22+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-31 19:16:07+00:00,2022-03-31 20:15:16+00:00
Khmelnytska oblast,,,oblast,2022-03-31 19:17:22+00:00,2022-03-31 20:09:19+00:00
Rivnenska oblast,,,oblast,2022-03-31 19:17:51+00:00,2022-03-31 20:09:41+00:00
Zakarpatska oblast,,,oblast,2022-03-31 19:18:24+00:00,2022-03-31 20:10:15+00:00
Volynska oblast,,,oblast,2022-03-31 19:18:42+00:00,2022-03-31 20:12:24+00:00
Lvivska oblast,,,oblast,2022-03-31 19:18:51+00:00,2022-03-31 20:17:42+00:00
Chernivetska oblast,,,oblast,2022-03-31 19:18:56+00:00,2022-03-31 20:10:57+00:00
Ternopilska oblast,,,oblast,2022-03-31 19:22:59+00:00,2022-03-31 20:15:40+00:00
Vinnytska oblast,,,oblast,2022-03-31 19:36:27+00:00,2022-03-31 19:56:07+00:00
Volynska oblast,,,oblast,2022-03-31 20:14:28+00:00,2022-03-31 20:16:01+00:00
Kyiv City,,,oblast,2022-03-31 21:31:42+00:00,2022-03-31 22:14:41+00:00
Zhytomyrska oblast,,,oblast,2022-03-31 21:32:50+00:00,2022-03-31 22:16:11+00:00
Kirovohradska oblast,,,oblast,2022-03-31 21:33:52+00:00,2022-03-31 22:15:21+00:00
Zaporizka oblast,,,oblast,2022-03-31 21:34:27+00:00,2022-03-31 22:07:53+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-31 21:35:51+00:00,2022-03-31 21:49:43+00:00
Sumska oblast,,,oblast,2022-03-31 21:36:07+00:00,2022-03-31 21:58:26+00:00
Donetska oblast,Kramatorskyi raion,Cherkaska terytorialna hromada,hromada,2022-03-31 21:38:00+00:00,2022-03-31 22:16:32+00:00
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-31 21:38:00+00:00,2022-03-31 22:16:32+00:00
Cherkaska oblast,,,oblast,2022-03-31 21:38:04+00:00,2022-03-31 22:16:36+00:00
Chernihivska oblast,,,oblast,2022-03-31 21:39:22+00:00,2022-04-01 02:00:41+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-03-31 21:39:56+00:00,2022-03-31 21:49:38+00:00
Vinnytska oblast,,,oblast,2022-03-31 21:42:28+00:00,2022-03-31 22:12:23+00:00
Poltavska oblast,Kremenchutskyi raion,m. Kremenchuk ta Kremenchutska terytorialna hromada,hromada,2022-03-31 21:42:42+00:00,2022-03-31 22:16:56+00:00
Dnipropetrovska oblast,,,oblast,2022-03-31 21:43:16+00:00,2022-03-31 22:03:55+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-31 21:44:09+00:00,2022-03-31 22:04:29+00:00
Odeska oblast,,,oblast,2022-03-31 21:48:38+00:00,2022-03-31 22:05:43+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-04-01 02:31:46+00:00,2022-04-01 02:41:40+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-04-01 02:34:38+00:00,2022-04-01 03:01:18+00:00
Kharkivska oblast,,,oblast,2022-04-01 05:43:40+00:00,2022-04-01 06:07:00+00:00
Kharkivska oblast,,,oblast,2022-04-01 10:14:10+00:00,2022-04-01 10:38:32+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-04-01 12:07:51+00:00,2022-04-01 13:13:13+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-04-01 12:09:40+00:00,2022-04-01 12:19:09+00:00
Donetska oblast,Bakhmutskyi raion,,raion,2022-04-01 12:10:06+00:00,2022-04-01 12:51:49+00:00
Vinnytska oblast,,,oblast,2022-04-01 12:22:53+00:00,2022-04-01 13:00:05+00:00
Cherkaska oblast,,,oblast,2022-04-01 12:25:01+00:00,2022-04-01 12:50:23+00:00
Kirovohradska oblast,,,oblast,2022-04-01 12:25:58+00:00,2022-04-01 12:50:43+00:00
Zaporizka oblast,,,oblast,2022-04-01 12:26:12+00:00,2022-04-01 12:52:03+00:00
Dnipropetrovska oblast,,,oblast,2022-04-01 12:26:44+00:00,2022-04-01 13:16:07+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-04-01 12:27:38+00:00,2022-04-01 13:18:49+00:00
Poltavska oblast,,,oblast,2022-04-01 12:50:35+00:00,2022-04-01 13:08:59+00:00
Kharkivska oblast,,,oblast,2022-04-01 12:50:35+00:00,2022-04-01 13:09:21+00:00
Kirovohradska oblast,,,oblast,2022-04-01 12:55:05+00:00,2022-04-01 13:09:56+00:00
Cherkaska oblast,,,oblast,2022-04-01 12:55:11+00:00,2022-04-01 13:09:16+00:00
Zaporizka oblast,,,oblast,2022-04-01 12:57:23+00:00,2022-04-01 13:16:49+00:00
Vinnytska oblast,,,oblast,2022-04-01 16:35:42+00:00,2022-04-01 17:03:32+00:00
Kyiv City,,,oblast,2022-04-01 16:35:53+00:00,2022-04-01 17:04:19+00:00
Zhytomyrska oblast,,,oblast,2022-04-01 16:36:39+00:00,2022-04-01 17:05:06+00:00
Cherkaska oblast,,,oblast,2022-04-01 16:36:50+00:00,2022-04-01 17:05:34+00:00
Kharkivska oblast,,,oblast,2022-04-01 16:38:21+00:00,2022-04-01 17:30:45+00:00
Kyivska oblast,,,oblast,2022-04-01 16:38:25+00:00,2022-04-01 17:06:20+00:00
Kirovohradska oblast,,,oblast,2022-04-01 16:38:41+00:00,2022-04-01 17:05:48+00:00
Odeska oblast,,,oblast,2022-04-01 16:39:18+00:00,2022-04-01 17:10:52+00:00
Chernihivska oblast,,,oblast,2022-04-01 16:45:20+00:00,2022-04-01 17:09:01+00:00
Lvivska oblast,,,oblast,2022-04-01 16:59:16+00:00,2022-04-01 17:28:05+00:00
Rivnenska oblast,,,oblast,2022-04-01 16:59:24+00:00,2022-04-01 17:23:57+00:00
Ivano-Frankivska oblast,,,oblast,2022-04-01 16:59:25+00:00,2022-04-01 17:25:48+00:00
Khmelnytska oblast,,,oblast,2022-04-01 17:00:22+00:00,2022-04-01 17:25:53+00:00
Volynska oblast,,,oblast,2022-04-01 17:00:34+00:00,2022-04-01 17:25:14+00:00
Ternopilska oblast,,,oblast,2022-04-01 17:03:36+00:00,2022-04-01 17:29:30+00:00
Zakarpatska oblast,,,oblast,2022-04-01 17:08:55+00:00,2022-04-01 17:27:11+00:00
Chernivetska oblast,,,oblast,2022-04-01 17:09:01+00:00,2022-04-01 17:31:28+00:00
Dnipropetrovska oblast,,,oblast,2022-04-01 21:06:55+00:00,2022-04-01 21:40:42+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-04-01 21:07:25+00:00,2022-04-01 21:41:04+00:00
Poltavska oblast,,,oblast,2022-04-01 21:10:24+00:00,2022-04-01 21:40:07+00:00
Cherkaska oblast,,,oblast,2022-04-01 21:11:31+00:00,2022-04-01 21:40:35+00:00
Kirovohradska oblast,,,oblast,2022-04-01 21:11:34+00:00,2022-04-01 21:41:13+00:00
Zaporizka oblast,,,oblast,2022-04-01 21:14:20+00:00,2022-04-01 21:43:24+00:00
Poltavska oblast,,,oblast,2022-04-01 22:44:39+00:00,2022-04-01 23:14:42+00:00
Kirovohradska oblast,,,oblast,2022-04-01 22:46:05+00:00,2022-04-01 23:15:38+00:00
Vinnytska oblast,,,oblast,2022-04-02 00:36:53+00:00,2022-04-02 03:15:38+00:00
Kyiv City,,,oblast,2022-04-02 00:37:20+00:00,2022-04-02 03:59:00+00:00
Poltavska oblast,,,oblast,2022-04-02 00:37:31+00:00,2022-04-02 03:59:27+00:00
Khmelnytska oblast,,,oblast,2022-04-02 00:38:22+00:00,2022-04-02 04:00:19+00:00
Kirovohradska oblast,,,oblast,2022-04-02 00:38:51+00:00,2022-04-02 04:00:06+00:00
Zaporizka oblast,,,oblast,2022-04-02 00:38:54+00:00,2022-04-02 03:10:27+00:00
Volynska oblast,,,oblast,2022-04-02 00:39:10+00:00,2022-04-02 03:23:29+00:00
Ivano-Frankivska oblast,,,oblast,2022-04-02 00:39:11+00:00,2022-04-02 03:26:18+00:00
Cherkaska oblast,,,oblast,2022-04-02 00:39:12+00:00,2022-04-02 03:59:42+00:00
Dnipropetrovska oblast,,,oblast,2022-04-02 00:39:37+00:00,2022-04-02 03:05:50+00:00
Kyivska oblast,,,oblast,2022-04-02 00:39:39+00:00,2022-04-02 04:01:14+00:00
Chernivetska oblast,,,oblast,2022-04-02 00:39:47+00:00,2022-04-02 04:01:25+00:00
Lvivska oblast,,,oblast,2022-04-02 00:39:52+00:00,2022-04-02 03:37:38+00:00
Zakarpatska oblast,,,oblast,2022-04-02 00:40:14+00:00,2022-04-02 04:01:20+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-04-02 00:40:21+00:00,2022-04-02 03:06:34+00:00
Kharkivska oblast,,,oblast,2022-04-02 00:40:45+00:00,2022-04-02 03:03:56+00:00
Mykolaivska oblast,,,oblast,2022-04-02 00:40:59+00:00,2022-04-02 04:00:35+00:00
Odeska oblast,,,oblast,2022-04-02 00:41:13+00:00,2022-04-02 03:04:45+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-04-02 00:44:26+00:00,2022-04-02 01:33:18+00:00
Sumska oblast,,,oblast,2022-04-02 00:45:03+00:00,2022-04-02 03:11:33+00:00
Ternopilska oblast,,,oblast,2022-04-02 00:45:10+00:00,2022-04-02 03:24:05+00:00
Zhytomyrska oblast,,,oblast,2022-04-02 00:46:01+00:00,2022-04-02 03:59:40+00:00
Rivnenska oblast,,,oblast,2022-04-02 00:55:27+00:00,2022-04-02 03:21:04+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-04-02 03:54:36+00:00,2022-04-02 04:28:45+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-04-02 03:58:53+00:00,2022-04-02 04:29:34+00:00
Donetska oblast,Bakhmutskyi raion,,raion,2022-04-02 04:03:36+00:00,2022-04-02 04:28:42+00:00
Poltavska oblast,Kremenchutskyi raion,m. Kremenchuk ta Kremenchutska terytorialna hromada,hromada,2022-04-02 04:03:39+00:00,2022-04-02 04:35:32+00:00
Kharkivska oblast,,,oblast,2022-04-02 07:22:35+00:00,2022-04-02 08:00:54+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Slovianska terytorialna hromada,hromada,2022-04-02 07:29:17+00:00,2022-04-02 08:22:03+00:00
Donetska oblast,Kramatorskyi raion,m. Sloviansk ta Slovianska terytorialna hromada,hromada,2022-04-02 07:29:17+00:00,2022-04-02 08:22:03+00:00
Odeska oblast,Rozdilnianskyi raion,Lymanska terytorialna hromada,hromada,2022-04-02 07:29:25+00:00,2022-04-02 08:21:58+00:00
Zaporizka oblast,,,oblast,2022-04-02 07:31:57+00:00,2022-04-02 08:43:08+00:00
Donetska oblast,Kramatorskyi raion,m. Kramatorsk ta Kramatorska terytorialna hromada,hromada,2022-04-02 07:34:34+00:00,2022-04-02 08:21:51+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-04-02 07:42:19+00:00,2022-04-02 08:45:58+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,,raion,2022-04-02 08:05:42+00:00,2022-04-02 08:51:24+00:00
Donetska oblast,Bakhmutskyi raion,,raion,2022-04-02 08:06:41+00:00,2022-04-02 08:22:27+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-04-02 08:30:30+00:00,2022-04-02 08:44:20+00:00
Donetska oblast,,,oblast,2022-04-02 08:31:58+00:00,2022-04-02 08:49:49+00:00
Donetska oblast,Bakhmutskyi raion,,raion,2022-04-02 08:32:10+00:00,2022-04-02 09:29:27+00:00
Donetska oblast,Volnovaskyi raion,Vuhledarska terytorialna hromada,hromada,2022-04-02 08:45:22+00:00,2022-04-02 08:55:42+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-04-02 09:02:08+00:00,2022-04-02 09:29:32+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-04-02 10:03:21+00:00,2022-04-02 10:11:32+00:00
Dnipropetrovska oblast,,,oblast,2022-04-02 10:33:27+00:00,2022-04-02 11:31:40+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-04-02 10:34:05+00:00,2022-04-02 11:32:19+00:00
Poltavska oblast,,,oblast,2022-04-02 10:39:24+00:00,2022-04-02 12:11:53+00:00
Cherkaska oblast,,,oblast,2022-04-02 10:40:26+00:00,2022-04-02 12:11:46+00:00
Kirovohradska oblast,,,oblast,2022-04-02 10:42:20+00:00,2022-04-02 12:13:44+00:00
Zaporizka oblast,,,oblast,2022-04-02 10:43:22+00:00,2022-04-02 11:39:24+00:00
Kharkivska oblast,Iziumskyi raion,,raion,2022-04-02 10:50:43+00:00,2022-04-02 11:55:14+00:00
Vinnytska oblast,,,oblast,2022-04-02 10:51:14+00:00,2022-04-02 11:55:02+00:00
Mykolaivska oblast,,,oblast,2022-04-02 12:54:58+00:00,2022-04-02 13:37:39+00:00
Dnipropetrovska oblast,,,oblast,2022-04-02 13:48:32+00:00,2022-04-02 14:52:42+00:00
Poltavska oblast,,,oblast,2022-04-02 13:48:59+00:00,2022-04-02 14:54:08+00:00
Kharkivska oblast,,,oblast,2022-04-02 13:49:21+00:00,2022-04-02 14:54:55+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-04-02 13:50:01+00:00,2022-04-02 14:53:53+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-04-02 13:52:31+00:00,2022-04-02 14:25:05+00:00
Zaporizka oblast,,,oblast,2022-04-02 13:53:27+00:00,2022-04-02 14:59:00+00:00
Kyiv City,,,oblast,2022-04-02 13:55:50+00:00,2022-04-02 15:01:13+00:00
Cherkaska oblast,,,oblast,2022-04-02 13:56:25+00:00,2022-04-02 14:58:44+00:00
Kyivska oblast,,,oblast,2022-04-02 13:58:32+00:00,2022-04-02 15:01:17+00:00
Donetska oblast,Bakhmutskyi raion,,raion,2022-04-02 13:58:46+00:00,2022-04-02 14:25:30+00:00
Donetska oblast,,,oblast,2022-04-02 13:59:59+00:00,2022-04-02 14:24:54+00:00
Donetska oblast,Pokrovskyi raion,,raion,2022-04-02 14:00:06+00:00,2022-04-02 14:17:06+00:00
Donetska oblast,Volnovaskyi raion,Velykonovosilkivska terytorialna hromada,hromada,2022-04-02 14:00:36+00:00,2022-04-02 14:25:11+00:00
Donetska oblast,Volnovaskyi raion,Vuhledarska terytorialna hromada,hromada,2022-04-02 14:00:44+00:00,2022-04-02 14:25:17+00:00
Vinnytska oblast,,,oblast,2022-04-02 14:01:36+00:00,2022-04-02 14:50:49+00:00
Kirovohradska oblast,,,oblast,2022-04-02 14:03:08+00:00,2022-04-02 15:01:42+00:00
Ivano-Frankivska oblast,,,oblast,2022-04-02 14:13:42+00:00,2022-04-02 15:00:44+00:00
Khmelnytska oblast,,,oblast,2022-04-02 14:13:52+00:00,2022-04-02 14:58:43+00:00
Volynska oblast,,,oblast,2022-04-02 14:14:59+00:00,2022-04-02 14:55:16+00:00
