region,started_at,finished_at,naive
Київ,2022-02-27 21:54:11+00:00,2022-02-27 22:24:11+00:00,True
Вінницька область,2022-02-27 21:54:40+00:00,2022-02-27 22:11:41+00:00,False
Чернігівська область,2022-02-27 23:26:43+00:00,2022-02-27 23:56:29+00:00,False
Сумська область,2022-02-27 23:34:10+00:00,2022-02-28 00:04:10+00:00,True
Вінницька область,2022-02-27 23:41:04+00:00,2022-02-28 00:00:56+00:00,False
Житомирська область,2022-02-27 23:43:51+00:00,2022-02-28 04:05:02+00:00,False
Черкаська область,2022-02-27 23:50:12+00:00,2022-02-28 01:02:52+00:00,False
Хмельницька область,2022-02-28 00:04:00+00:00,2022-02-28 00:26:16+00:00,False
Чернігівська область,2022-02-28 02:19:34+00:00,2022-02-28 02:36:34+00:00,False
Київ,2022-02-28 03:52:47+00:00,2022-02-28 04:22:47+00:00,True
Чернігівська область,2022-02-28 05:15:34+00:00,2022-02-28 05:35:45+00:00,False
Вінницька область,2022-02-28 05:19:05+00:00,2022-02-28 05:40:36+00:00,False
Житомирська область,2022-02-28 05:20:28+00:00,2022-02-28 05:42:44+00:00,False
Миколаївська область,2022-02-28 05:21:09+00:00,2022-02-28 05:51:09+00:00,True
Черкаська область,2022-02-28 05:22:07+00:00,2022-02-28 05:52:07+00:00,True
Дніпропетровська область,2022-02-28 05:24:51+00:00,2022-02-28 05:34:01+00:00,False
Харківська область,2022-02-28 05:28:04+00:00,2022-02-28 05:58:04+00:00,True
Луганська область,2022-02-28 06:09:16+00:00,2022-02-28 06:39:16+00:00,True
Донецька область,2022-02-28 06:16:08+00:00,2022-02-28 06:46:08+00:00,True
Сумська область,2022-02-28 06:23:18+00:00,2022-02-28 06:53:18+00:00,True
Київ,2022-02-28 06:32:17+00:00,2022-02-28 06:44:32+00:00,False
Житомирська область,2022-02-28 06:53:02+00:00,2022-02-28 07:18:54+00:00,False
Одеська область,2022-02-28 07:07:48+00:00,2022-02-28 07:10:38+00:00,False
Волинська область,2022-02-28 07:25:34+00:00,2022-02-28 07:32:07+00:00,False
Вінницька область,2022-02-28 07:26:09+00:00,2022-02-28 07:44:00+00:00,False
Черкаська область,2022-02-28 07:31:35+00:00,2022-02-28 07:55:04+00:00,False
Чернігівська область,2022-02-28 07:40:49+00:00,2022-02-28 08:10:49+00:00,True
Дніпропетровська область,2022-02-28 07:46:30+00:00,2022-02-28 08:12:11+00:00,False
Харківська область,2022-02-28 08:17:40+00:00,2022-02-28 08:47:40+00:00,True
Київ,2022-02-28 08:52:07+00:00,2022-02-28 09:11:05+00:00,False
Чернігівська область,2022-02-28 10:10:52+00:00,2022-02-28 10:40:52+00:00,True
Київ,2022-02-28 10:32:01+00:00,2022-02-28 11:05:29+00:00,False
Київська область,2022-02-28 10:40:32+00:00,2022-02-28 11:10:32+00:00,True
Черкаська область,2022-02-28 10:42:34+00:00,2022-02-28 11:12:34+00:00,True
Полтавська область,2022-02-28 10:44:28+00:00,2022-02-28 11:06:04+00:00,False
Київ,2022-02-28 11:12:38+00:00,2022-02-28 11:37:52+00:00,False
Вінницька область,2022-02-28 11:14:53+00:00,2022-02-28 11:41:45+00:00,False
Полтавська область,2022-02-28 11:20:51+00:00,2022-02-28 11:23:20+00:00,False
Дніпропетровська область,2022-02-28 11:21:38+00:00,2022-02-28 11:51:38+00:00,True
Запорізька область,2022-02-28 13:57:03+00:00,2022-02-28 14:27:03+00:00,True
Харківська область,2022-02-28 14:35:32+00:00,2022-02-28 15:05:32+00:00,True
Одеська область,2022-02-28 15:12:21+00:00,2022-02-28 15:23:19+00:00,False
Вінницька область,2022-02-28 16:24:26+00:00,2022-02-28 16:36:04+00:00,False
Чернігівська область,2022-02-28 16:37:38+00:00,2022-02-28 17:07:38+00:00,True
Черкаська область,2022-02-28 16:39:45+00:00,2022-02-28 17:41:17+00:00,False
Київ,2022-02-28 16:42:29+00:00,2022-02-28 17:34:23+00:00,False
Житомирська область,2022-02-28 16:43:25+00:00,2022-02-28 17:14:11+00:00,False
Харківська область,2022-02-28 16:52:20+00:00,2022-02-28 17:22:20+00:00,True
Вінницька область,2022-02-28 16:52:57+00:00,2022-02-28 17:08:12+00:00,False
Київська область,2022-02-28 17:01:46+00:00,2022-02-28 17:31:46+00:00,True
Миколаївська область,2022-02-28 17:14:36+00:00,2022-02-28 17:44:36+00:00,True
Вінницька область,2022-02-28 17:43:02+00:00,2022-02-28 18:00:23+00:00,False
Житомирська область,2022-02-28 17:43:32+00:00,2022-02-28 18:08:23+00:00,False
Київ,2022-02-28 17:44:05+00:00,2022-02-28 18:14:05+00:00,True
Миколаївська область,2022-02-28 18:43:49+00:00,2022-02-28 19:50:53+00:00,False
Вінницька область,2022-02-28 18:48:13+00:00,2022-02-28 19:15:48+00:00,False
Київ,2022-02-28 18:49:00+00:00,2022-02-28 19:46:34+00:00,False
Черкаська область,2022-02-28 18:52:51+00:00,2022-02-28 19:35:22+00:00,False
Рівненська область,2022-02-28 18:54:29+00:00,2022-02-28 19:10:45+00:00,False
Львівська область,2022-02-28 18:55:59+00:00,2022-02-28 19:45:46+00:00,False
Дніпропетровська область,2022-02-28 18:57:14+00:00,2022-02-28 19:22:12+00:00,False
Тернопільська область,2022-02-28 18:57:28+00:00,2022-02-28 19:56:51+00:00,False
Хмельницька область,2022-02-28 18:58:46+00:00,2022-02-28 19:04:13+00:00,False
Волинська область,2022-02-28 19:01:14+00:00,2022-02-28 20:02:49+00:00,False
Донецька область,2022-02-28 19:01:54+00:00,2022-02-28 19:28:04+00:00,False
Кіровоградська область,2022-02-28 19:05:38+00:00,2022-02-28 19:39:28+00:00,False
Івано-Франківська область,2022-02-28 19:16:32+00:00,2022-02-28 19:36:42+00:00,False
Чернігівська область,2022-02-28 19:25:33+00:00,2022-02-28 19:39:45+00:00,False
Чернівецька область,2022-02-28 19:31:03+00:00,2022-02-28 19:33:02+00:00,False
Донецька область,2022-02-28 19:32:16+00:00,2022-02-28 20:02:16+00:00,True
Дніпропетровська область,2022-02-28 20:02:01+00:00,2022-02-28 20:12:25+00:00,False
Чернівецька область,2022-02-28 20:08:17+00:00,2022-02-28 20:38:17+00:00,True
Київ,2022-02-28 21:10:31+00:00,2022-02-28 21:49:09+00:00,False
Івано-Франківська область,2022-02-28 21:12:50+00:00,2022-02-28 21:42:50+00:00,True
Чернівецька область,2022-02-28 21:15:54+00:00,2022-02-28 21:59:58+00:00,False
Полтавська область,2022-02-28 21:16:21+00:00,2022-02-28 21:51:18+00:00,False
Черкаська область,2022-02-28 21:16:49+00:00,2022-02-28 21:51:43+00:00,False
Волинська область,2022-02-28 21:17:40+00:00,2022-02-28 21:52:34+00:00,False
Чернігівська область,2022-02-28 21:18:13+00:00,2022-02-28 21:45:49+00:00,False
Житомирська область,2022-02-28 21:20:08+00:00,2022-02-28 21:50:31+00:00,False
Хмельницька область,2022-02-28 21:24:41+00:00,2022-02-28 22:04:57+00:00,False
Харківська область,2022-02-28 21:25:34+00:00,2022-02-28 21:55:34+00:00,True
Дніпропетровська область,2022-02-28 21:29:01+00:00,2022-02-28 21:52:14+00:00,False
Львівська область,2022-02-28 21:31:14+00:00,2022-02-28 22:01:14+00:00,True
Івано-Франківська область,2022-02-28 21:44:19+00:00,2022-02-28 21:52:51+00:00,False
